ADDR,NAME,COLAR,ON,COLAR,OFF,ADDR,NAME,COLAR,ON,COLAR,OFF,QUICK
X1000,SPD FAIL ALARM,G,NORMAL,R,ALARM,Y1000,SAFETY RESET CMD,B,RESET,W,OFF,0
X1001,LINEAR X AXIS POWER LINE (CP100),G,ON,R,OFF,Y1001,TOWER GREEN LAMP CMD,B,ON,W,OFF,0
X1002,LINEAR Y1 AXIS POWER LINE (CP101),G,ON,R,OFF,Y1002,TOWER YELLOW LAMP FLASHING CMD,B,ON,W,OFF,0
X1003,LINEAR Y2 AXIS POWER LINE (CP102),G,ON,R,OFF,Y1003,TOWER RED LAMP FLASHING CMD,B,ON,W,OFF,0
X1004,LINEAR CX1 AXIS POWER LINE (CP103),G,ON,R,OFF,Y1004,TOWER BUZZER 1 CMD,B,ON,W,OFF,0
X1005,LINEAR CX2 AXIS POWER LINE (CP104),G,ON,R,OFF,Y1005,PHOTOHEAD 1 POWER OFF CMD,B,ON,W,OFF,0
X1006,CZ1&Z2 AXIS POWER (CP105),G,ON,R,OFF,Y1006,PHOTOHEAD 2 POWER OFF CMD,B,ON,W,OFF,0
X1007,CZ3&T AXIS POWER (CP106),G,ON,R,OFF,Y1007,CAMERA 1 IR RING LIGHT CHANGE,B,ON,W,OFF,0
X1008,LINEAR Z1&Z2 AXIS SMPS POWER FAIL,G,NONE,R,ALARM,Y1008,CAMERA 2 IR RING LIGHT CHANGE,B,ON,W,OFF,0
X1009,LINEAR Z1&Z2 POWER LINE (CP108 ~ CP109),G,ON,R,OFF,Y1009,CAMERA 3 IR RING LIGHT CHANGE,B,ON,W,OFF,0
X100A,OPTICS 1 SMPS POWER FAIL,G,NONE,R,ALARM,Y100A,AF1 AXIS AIR COOLING ON/OFF,B,ON,W,OFF,0
X100B,OPTICS 2 SMPS POWER FAIL,G,NONE,R,ALARM,Y100B,AF2 AXIS AIR COOLING ON/OFF,B,ON,W,NONE,0
X100C,OPTICS 1~6 POWER (CP111&CP113),G,ON,R,OFF,Y100C,AF1 AXIS CYLINDER ON (QY04C),B,ON,W,NONE,0
X100D,DATA PC&LIGHT&MONITOR POWER (CP-CON115),G,ON,R,OFF,Y100D,AF1 AXIS CYLINDER OFF (QY04D),B,OFF,W,NONE,0
X100E,SERVOAMP CONTROL POWER (CP-CON116),G,ON,R,OFF,Y100E,AF2 AXIS CYLINDER ON (QY04C),B,ON,W,NONE,0
X101F,MC2 POWER (CP24D1),G,ON,R,OFF,Y100F,AF2 AXIS CYLINDER OFF (QY04D),B,OFF,W,OFF,0
X1010,SD2S CONTROL POWER (CP24D2),G,ON,R,OFF,Y1010,VACUUM PUMP UNIT STAGE VACUUM ON,B,ON,W,OFF,0
X1011,SD2B CONTROL POWER (CP24D3),G,ON,R,OFF,Y1011,VACUUM PUMP UNIT STAGE PURGE ON,B,ON,W,OFF,0
X1012,LIFT PIN BRAKE POWER (CP24D4),G,ON,R,OFF,Y1012,VACUUM ON LAMP,B,ON,W,OFF,0
X1013,POWER BOX EMO PUSH ALARM,G,ALARM,R,NORMAL,Y1013,VACUUM OFF LAMP,B,,W,,0
X1014,FRONT EMO PUSH ALARM,G,ALARM,R,NORMAL,Y1014,SPARE,B,,W,,0
X1015,REAR EMO PUSH ALARM,G,ALARM,R,NORMAL,Y1015,SPARE,B,,W,,0
X1016,INSIDE EMO PUSH ALARM,G,ALARM,R,NORMAL,Y1016,SPARE,B,,W,,0
X1017,SAFETY RESET POSSIBLE STATUS,G,RESET REQUIRE,R,NONE,Y1017,SPARE,B,,W,,0
X1018,CHILLER WATER LEAK SENSOR,G,NORMAL,R,Leak,Y1018,SPARE,B,,W,,0
X1019,PH WATER LEAK SENSOR 1,G,NORMAL,R,Leak,Y1019,SPARE,B,,W,,0
X101A,PH WATER LEAK SENSOR 2,G,NORMAL,R,Leak,Y101A,SPARE,B,,W,,0
X101B,POWER BOX IN FAN ALARM 1,G,NORMAL,R,ALARM,Y101B,SPARE,B,,W,,0
X101C,POWER BOX IN FAN ALARM 2,G,NORMAL,R,ALARM,Y101C,SPARE,B,,W,,0
X101D,POWER BOX IN FAN ALARM 3,G,NORMAL,R,ALARM,Y101D,SPARE,B,,W,,0
