TAB,GROUP,NAME,DISPLAY NAME,DATA TYPE,UNIT,SHOW,USE,VALUE,SCALE,CHANGE LIMIT,MIN,MAX,UI LEVEL,DESCRIPTION
JOB,RECIPE,JOB_NAME,JOB_NAME,STRING,,1,1,0,1.000,0.000,0.000,0.000,0,
JOB,RECIPE,GERBER_PATH,GERBER_PATH,STRING,,1,1,0,1.000,0.000,0.000,0.000,0,
JOB,RECIPE,GERBER_NAME,GERBER_NAME,LOAD,,1,1,0,1.000,0.000,0.000,0.000,0,
JOB,RECIPE,ALIGN_RECIPE,ALIGN_RECIPE,LOAD,,1,1,0,1.000,0.000,0.000,0.000,0,
JOB,RECIPE,EXPO_RECIPE,EXPO_RECIPE,LOAD,,1,1,0,1.000,0.000,0.000,0.000,0,
JOB,MATERIAL,MATERIAL_THICK,MATERIAL_THICK,INT,um,1,1,0,1.000,0.000,0.000,25000.000,0,
JOB,MATERIAL,LDS_THRESHOLD,LDS_THRESHOLD(+-),INT,um,1,1,200,1.000,0.000,0.000,200.000,0,
JOB,PROCESS,EXPO_ENERGY,EXPO_ENERGY,INT,mJ,1,1,10,1.000,0.000,0.000,100000.000,0,
EXPOSE,RECIPE,EXPO_NAME,EXPO_NAME,LOAD,,1,1,0,1.000,0.000,0.000,0.000,1,
EXPOSE,RECIPE,POWER_NAME,POWER_NAME,LOAD,,1,1,0,1.000,0.000,0.000,0.000,1,
EXPOSE,MARK,MARK_ERR_DIST_RATE,MARK_ERR_DIST_RATE,DOUBLE,%,1,1,0,1.000,0.000,0.000,0.001,1,
EXPOSE,MARK,MARK_ERR_DIST_TOP_HORZ,MARK_ERR_DIST_TOP_HORZ,INT,1 um,1,1,0,1.000,0.000,0.000,10000.000,1,
EXPOSE,MARK,MARK_ERR_DIST_BTM_HORZ,MARK_ERR_DIST_BTM_HORZ,INT,1 um,1,1,0,1.000,0.000,0.000,10000.000,1,
EXPOSE,MARK,MARK_ERR_DIST_TOP_VERT,MARK_ERR_DIST_TOP_VERT,INT,1 um,1,1,0,1.000,0.000,0.000,10000.000,1,
EXPOSE,MARK,MARK_ERR_DIST_BTM_VERT,MARK_ERR_DIST_BTM_VERT,INT,1 um,1,1,0,1.000,0.000,0.000,10000.000,1,
EXPOSE,MARK,MARK_ERR_DIST_LFT_DIAG,MARK_ERR_DIST_LFT_DIAG,INT,1 um,1,1,0,1.000,0.000,0.000,10000.000,1,
EXPOSE,MARK,MARK_ERR_DIST_RGT_DIAG,MARK_ERR_DIST_RGT_DIAG,INT,1 um,1,1,0,1.000,0.000,0.000,10000.000,1,
EXPOSE,PROCESS,LED_DUTY_CYCLE,LED_DUTY_CYCLE,INT,%,1,1,0,1.000,0.000,0.000,90.000,2,
EXPOSE,PROCESS,SCORE_ACCEPT,SCORE_ACCEPT,DOUBLE,,1,1,0,1.000,0.000,0.000,100.000,2,
EXPOSE,PROCESS,SCALE_RANGE,SCALE_RANGE,DOUBLE,,1,1,0,1.000,0.000,0.000,100.000,2,
EXPOSE,,REAL_SCALE_RANGE,REAL_SCALE_RANGE,,,0,0,,0.000,0.000,0.000,0.000,0,?±Î°ù?òÏ? ?äÏ? ?åÎùºÎ©îÌÑ∞?ÖÎãà??
EXPOSE,,REAL_ROTAION_RANGE,REAL_ROTAION_RANGE,,,0,0,,0.000,0.000,0.000,0.000,0,?±Î°ù?òÏ? ?äÏ? ?åÎùºÎ©îÌÑ∞?ÖÎãà??
EXPOSE,PROCESS,SERIAL_DECODE,SERIAL_DECODE,INT,,1,1,0,1.000,0.000,0.000,400.000,2,
EXPOSE,PROCESS,SCALE_DECODE,SCALE_DECODE,INT,,1,1,0,1.000,0.000,0.000,400.000,2,
EXPOSE,PROCESS,TEXT_DECODE,TEXT_DECODE,INT,,1,1,0,1.000,0.000,0.000,400.000,2,
EXPOSE,PROCESS,TEXT_STRING,TEXT_STRING,STRING,,1,1,0,1.000,0.000,0.000,32.000,2,
EXPOSE,PROCESS,SERIAL_FLIP_HORZ,SERIAL_FLIP_HORZ,BOOL,SEL,1,1,0,1.000,0.000,0.000,1.000,2,
EXPOSE,PROCESS,SERIAL_FLIP_VERT,SERIAL_FLIP_VERT,BOOL,SEL,1,1,0,1.000,0.000,0.000,1.000,2,
EXPOSE,PROCESS,SCALE_FLIP_HORZ,SCALE_FLIP_HORZ,BOOL,SEL,1,1,0,1.000,0.000,0.000,1.000,2,
EXPOSE,PROCESS,SCALE_FLIP_VERT,SCALE_FLIP_VERT,BOOL,SEL,1,1,0,1.000,0.000,0.000,1.000,2,
EXPOSE,PROCESS,TEXT_FLIP_HORZ,TEXT_FLIP_HORZ,BOOL,SEL,1,1,0,1.000,0.000,0.000,1.000,2,
EXPOSE,PROCESS,TEXT_FLIP_VERT,TEXT_FLIP_VERT,BOOL,SEL,1,1,0,1.000,0.000,0.000,1.000,2,
EXPOSE,PROCESS,MATERIAL_TYPE,MATERIAL_TYPE,INT,SEL,1,1,0,1,0,0,0,3,
ALIGN,RECIPE,ALIGN_NAME,ALIGN_NAME,LOAD,,1,1,0,1.000,0.000,0.000,0.000,3,
ALIGN,ALIGN,MARK_TYPE,MARK_TYPE,BOOL,TYPE,1,1,0,1.000,0.000,0.000,1.000,3,
ALIGN,ALIGN,ALIGN_TYPE,ALIGN_TYPE,INT,TYPE,1,1,0,1.000,0.000,0.000,100.000,3,
ALIGN,ALIGN,ALIGN_MOTION,ALIGN_MOTION,INT,TYPE,1,1,513,1.000,0.000,0.000,20000.000,3,
ALIGN,ALIGN,LAMP_TYPE,LAMP_TYPE,BOOL,TYPE,1,1,0,1.000,0.000,0.000,2.000,3,
ALIGN,ALIGN,GAIN_LEVEL_CAM1,GAIN_LEVEL_CAM1,INT,LEVEL,1,1,0,1.000,0.000,0.000,255.000,3,
ALIGN,ALIGN,GAIN_LEVEL_CAM2,GAIN_LEVEL_CAM2,INT,LEVEL,1,1,0,1.000,0.000,0.000,255.000,3,
ALIGN,,SEARCH_TYPE,SEARCH_TYPE,,,0,0,,0.000,0.000,0.000,0.000,0,?±Î°ù?òÏ? ?äÏ? ?åÎùºÎ©îÌÑ∞?ÖÎãà??
ALIGN,,SEARCH_COUNT,SEARCH_COUNT,,,0,0,,0.000,0.000,0.000,0.000,0,?±Î°ù?òÏ? ?äÏ? ?åÎùºÎ©îÌÑ∞?ÖÎãà??
ALIGN,,MARK_AREA_WIDTH,MARK_AREA_WIDTH,,,0,0,,0.000,0.000,0.000,0.000,0,?±Î°ù?òÏ? ?äÏ? ?åÎùºÎ©îÌÑ∞?ÖÎãà??
ALIGN,,MARK_AREA_HEIGHT,MARK_AREA_HEIGHT,,,0,0,,0.000,0.000,0.000,0.000,0,?±Î°ù?òÏ? ?äÏ? ?åÎùºÎ©îÌÑ∞?ÖÎãà??
ALIGN,,ALIGN_CAMERA_NUMBER1,ALIGN_CAMERA_NUMBER1,,,0,0,,0.000,0.000,0.000,0.000,0,?±Î°ù?òÏ? ?äÏ? ?åÎùºÎ©îÌÑ∞?ÖÎãà??
ALIGN,,ALIGN_CAMERA_NUMBER2,ALIGN_CAMERA_NUMBER2,,,0,0,,0.000,0.000,0.000,0.000,0,?±Î°ù?òÏ? ?äÏ? ?åÎùºÎ©îÌÑ∞?ÖÎãà??
ALIGN,MARK,GLOBAL_MARK_NAME,GLOBAL_MARK_NAME,LOAD,,1,1,0,1.000,0.000,0.000,0.000,3,
ALIGN,MARK,LOCAL_MARK_NAME,LOCAL_MARK_NAME,LOAD,,1,1,0,1.000,0.000,0.000,0.000,3,
