LED1,365,LED2,385,LED3,395,LED4,405
INDEX,POWER,INDEX,POWER,INDEX,POWER,INDEX,POWER
100,0.2645,100,0.2973,100,0.1938,100,0.2698
200,0.2623,200,0.4721,200,0.2781,200,0.4167
300,0.2646,300,0.8104,300,0.3616,300,0.5535
400,1.1130,400,1.0552,400,0.5210,400,0.8109
500,1.3573,500,1.3018,500,0.6293,500,0.9794
600,1.5166,600,1.5205,600,0.7296,600,1.1539
700,1.5157,700,1.7309,700,0.8402,700,1.3417
800,1.4936,800,1.9256,800,0.9466,800,1.5106
900,1.4901,900,2.0859,900,1.0491,900,1.6799
1000,1.4913,1000,2.0405,1000,1.1379,1000,1.8513
1100,1.4900,1100,2.0453,1100,1.2294,1100,2.0230
1200,1.4906,1200,2.0479,1200,1.3132,1200,2.2047
1300,1.4901,1300,2.0462,1300,1.3993,1300,2.3762
1400,1.4894,1400,2.0488,1400,1.4514,1400,2.3192
1500,1.4870,1500,2.0502,1500,1.4178,1500,2.3126
