ADDR,NAME,COLAR,ON,COLAR,OFF,ADDR,NAME,COLAR,ON,COLAR,OFF,QUICK
X1000,SPD FAIL ALARM,G,NORMAL,R,ALARM,Y1000,SAFETY RESET CMD,B,RESET,W,OFF,0
X1001,LINEAR X AXIS POWER LINE (CP100),G,ON,R,OFF,Y1001,MAINT MODE KEY LOCK,B,ON,W,OFF,0
X1002,LINEAR Y1 AXIS POWER LINE (CP101),G,ON,R,OFF,Y1002,EQUIPMENT SAFETY DOOR OPEN,B,ON,W,OFF,0
X1003,LINEAR Y1 AXIS POWER LINE (CP102),G,ON,R,OFF,Y1003,TOWER GREEN LAMP CMD,B,ON,W,OFF,0
X1004,LINEAR CX1 AXIS POWER LINE (CP103),G,ON,R,OFF,Y1004,TOWER YELLOW LAMP FLASHING CMD,B,ON,W,OFF,0
X1005,LINEAR CX2 AXIS POWER LINE (CP104),G,ON,R,OFF,Y1005,TOWER RED LAMP FLASHING CMD,B,ON,W,OFF,0
X1006,CZ1&Z2&LIFT PIN AXIS POWER (CP105),G,ON,R,OFF,Y1006,TOWER BUZZER 1 CMD,B,ON,W,OFF,0
X1007,LINEAR Z1~Z3 AXIS SMPS POWER FAIL,G,NORMAL,R,ALARM,Y1007,PHOTOHEAD 1 POWER OFF CMD,B,ON,W,OFF,0
X1008,LINEAR Z1~Z3 POWER LINE (CP107 ~ CP109),G,ON,R,OFF,Y1008,PHOTOHEAD 2 POWER OFF CMD,B,ON,W,OFF,0
X1009,LINEAR Z4~Z6 AXIS SMPS POWER FAIL,G,NORMAL,R,ALARM,Y1009,PHOTOHEAD 3 POWER OFF CMD,B,ON,W,OFF,0
X100A,LINEAR Z4~Z6 POWER LINE (CP111 ~ CP113),G,ON,R,OFF,Y100A,PHOTOHEAD 4 POWER OFF CMD,B,ON,W,OFF,0
X100B,OPTICS 1 SMPS POWER FAIL,G,ON,R,OFF,Y100B,PHOTOHEAD 5 POWER OFF CMD,B,ON,W,OFF,0
X100C,OPTICS 2 SMPS POWER FAIL,G,ON,R,OFF,Y100C,PHOTOHEAD 6 POWER OFF CMD,B,ON,W,OFF,0
X100D,OPTICS 3 SMPS POWER FAIL,G,ON,R,OFF,Y100D,MC2 POWER OFF CMD,B,ON,W,OFF,0
X100E,OPTICS 4 SMPS POWER FAIL,G,ON,R,OFF,Y100E,AF1 AXIS AIR COOLING ON/OFF,B,ON,W,OFF,0
X101F,OPTICS 5 SMPS POWER FAIL,G,ON,R,OFF,Y100F,AF2 AXIS AIR COOLING ON/OFF,B,ON,W,OFF,0
X1010,OPTICS 6 SMPS POWER FAIL,G,ON,R,OFF,Y1010,AF3 AXIS AIR COOLING ON/OFF,B,ON,W,OFF,0
X1011,OPTICS 1~6 POWER (CP115~CP125),G,ON,R,OFF,Y1011,AF4 AXIS AIR COOLING ON/OFF,B,ON,W,OFF,0
X1012,SPARE,G,ON,R,OFF,Y1012,AF5 AXIS AIR COOLING ON/OFF,B,ON,W,OFF,0
X1013,DATA PC&LIGHT&MONITOR POWER (CP-CON128),G,ON,R,OFF,Y1013,AF6 AXIS AIR COOLING ON/OFF,B,ON,W,OFF,0
X1014,LIFT PIN CONTROL POWER (CP-CON129),G,ON,R,OFF,Y1014,AF1 AXIS CYLINDER ON,B,ON,W,NONE,0
X1015,MC2 POWER (CP24D1),G,ON,R,OFF,Y1015,AF1 AXIS CYLINDER OFF,B,OFF,W,NONE,0
X1016,SD2S CONTROL POWER (CP24D2),G,ON,R,OFF,Y1016,AF2 AXIS CYLINDER ON,B,ON,W,NONE,0
X1017,SD2B CONTROL POWER (CP24D3),G,ON,R,OFF,Y1017,AF2 AXIS CYLINDER OFF,B,OFF,W,NONE,0
X1018,LIFT PIN BRAKE POWER (CP24D4),G,ON,R,OFF,Y1018,AF3 AXIS CYLINDER ON,B,ON,W,NONE,0
X1019,AUTO / MAINT MODE,G,AUTO,R,MAINT,Y1019,AF3 AXIS CYLINDER OFF,B,OFF,W,NONE,0
X101A,SAFETY RESET POSSIBLE STATUS,G,RESET REQUIRE,R,NONE,Y101A,AF4 AXIS CYLINDER ON,B,ON,W,NONE,0
X101B,FRONT DOOR 1 OPEN(SLIDE),G,OPEN,R,CLOSE,Y101B,AF4 AXIS CYLINDER OFF,B,OFF,W,NONE,0
X101C,FRONT DOOR 2 OPEN(SLIDE),G,OPEN,R,CLOSE,Y101C,AF5 AXIS CYLINDER ON,B,ON,W,NONE,0
X101D,REAR DOOR 3 OPEN,G,OPEN,R,CLOSE,Y101D,AF5 AXIS CYLINDER OFF,B,OFF,W,NONE,0
X101E,FRONT DOOR 1 UNLOCK(SLIDE),G,CLOSE,R,OPEN,Y101E,AF6 AXIS CYLINDER ON,B,ON,W,NONE,0
X101F,FRONT DOOR 2 UNLOCK(SLIDE),G,CLOSE,R,OPEN,Y101F,AF6 AXIS CYLINDER OFF,B,OFF,W,NONE,0
X1020,FRONT DOOR 3 UNLOCK,G,CLOSE,R,OPEN,Y1020,CLAMP X OUTSIDE POSITION,B,OUTSIDE,W,NONE,0
X1021,POWER BOX IN FAN ALARM 1,G,NORMAL,R,ALARM,Y1021,CLAMP X INSIDE POSITION,B,INSIDE,W,NONE,0
X1022,POWER BOX IN FAN ALARM 2,G,NORMAL,R,ALARM,Y1022,CLAMP Y OUTSIDE POSITION,B,OUTSIDE,W,NONE,0
X1023,POWER BOX IN FAN ALARM 3,G,NORMAL,R,ALARM,Y1023,CLAMP Y INSIDE POSITION,B,INSIDE,W,NONE,0
X1024,POWER BOX IN FAN ALARM 4,G,NORMAL,R,ALARM,Y1024,CLAMP X UP POSITION,B,UP,W,NONE,0
X1025,POWER BOX IN FAN ALARM 5,G,NORMAL,R,ALARM,Y1025,CLAMP X DOWN POSITION,B,DOWN,W,NONE,0
X1026,POWER BOX OUT FAN ALARM 1,G,NORMAL,R,ALARM,Y1026,CLAMP Y UP POSITION,B,UP,W,NONE,0
X1027,POWER BOX OUT FAN ALARM 2,G,NORMAL,R,ALARM,Y1027,CLAMP Y DOWN POSITION,B,DOWN,W,NONE,0
X1028,POWER BOX OUT FAN ALARM 3,G,NORMAL,R,ALARM,Y1028,CENTERING 1 PUSH POSITION,B,PUSH,W,NONE,0
X1029,POWER BOX OUT FAN ALARM 4,G,NORMAL,R,ALARM,Y1029,CENTERING 1 PULL POSITION,B,PULL,W,NONE,0
X102A,POWER BOX OUT FAN ALARM 5,G,NORMAL,R,ALARM,Y102A,CENTERING 2 PUSH POSITION,B,PUSH,W,NONE,0
X102B,PC RACK IN FAN ALARM,G,NORMAL,R,ALARM,Y102B,CENTERING 2 PULL POSITION,B,PULL,W,NONE,0
X102C,PC RACK OUT FAN ALARM,G,NORMAL,R,ALARM,Y102C,SPARE,B,,W,,0
X102D,POWER BOX EMO PUSH ALARM,G,ALARM,R,NORMAL,Y102D,SPARE,B,,W,,0
X102E,FRONT EMO PUSH ALARM,G,ALARM,R,NORMAL,Y102E,SHUTTER CLOSE POSITION,B,CLOSE,W,NONE,0
X102F,REAR EMO PUSH ALARM,G,ALARM,R,NORMAL,Y102F,SHUTTER OPEN POSITION,B,OPEN,W,NONE,0
X1030,CLAMP X1 OUTSIDE POSITION SENSOR,G,OUTSIDE,R,NONE,Y1030,IONIZER AIR ON,B,ON,W,OFF,0
X1031,CLAMP X1 INSIDE POSITION SENSOR,G,INSIDE,R,NONE,Y1031,IONIZER STOP,B,STOP,W,OFF,0
X1032,CLAMP X1 UP POSITION SENSOR,G,UP,R,NONE,Y1032,SPARE,B,,W,,0
X1033,CLAMP X1 DOWN POSITION SENSOR,G,DOWN,R,NONE,Y1033,VACUUM PUMP UNIT STAGE VACUUM ON,B,VAC,W,NONE,0
X1034,CLAMP X2 OUTSIDE POSITION SENSOR,G,OUTSIDE,R,NONE,Y1034,VACUUM PUMP UNIT STAGE PURGE ON,B,ATM,W,NONE,0
X1035,CLAMP X2 INSIDE POSITION SENSOR,G,INSIDE,R,NONE,Y1035,VACUUM PUMP 2 UNIT STAGE VACUUM ON,B,VAC,W,NONE,0
X1036,CLAMP X2 UP POSITION SENSOR,G,UP,R,NONE,Y1036,VACUUM PUMP 3 UNIT STAGE VACUUM ON,B,VAC,W,NONE,0
X1037,CLAMP X2 DOWN POSITION SENSOR,G,DOWN,R,NONE,Y1037,VACUUM PUMP 4 UNIT STAGE VACUUM ON,B,VAC,W,NONE,0
X1038,CLAMP Y1 OUTSIDE POSITION SENSOR,G,OUTSIDE,R,NONE,Y1038,SPARE,B,,W,,0
X1039,CLAMP Y1 INSIDE POSITION SENSOR,G,INSIDE,R,NONE,Y1039,SPARE,B,,W,,0
X103A,CLAMP Y1 UP POSITION SENSOR,G,UP,R,NONE,Y103A,SPARE,B,,W,,0
X103B,CLAMP Y1 DOWN POSITION SENSOR,G,DOWN,R,NONE,Y103B,SPARE,B,,W,,0
X103C,CLAMP Y2 OUTSIDE POSITION SENSOR,G,OUTSIDE,R,NONE,Y103C,SPARE,B,,W,,0
X103D,CLAMP Y2 INSIDE POSITION SENSOR,G,INSIDE,R,NONE,Y103D,SPARE,B,,W,,0
X103A,CLAMP Y2 UP POSITION SENSOR,G,UP,R,NONE,Y103E,SPARE,B,,W,,0
X103F,CLAMP Y2 DOWN POSITION SENSOR,G,DOWN,R,NONE,Y103F,SPARE,B,,W,,0
X1040,CENTERING 1-1 PULL SENSOR,G,PULL,R,NONE,Y1040,LOAD AUTO,B,,W,,0
X1041,CENTERING 1-1 PUSH SENSOR,G,PUSH,R,NONE,Y1041,LOAD ENABLE,B,,W,,0
X1042,CENTERING 1-2 PULL SENSOR,G,PULL,R,NONE,Y1042,LOAD GLASS DATA REQUEST,B,,W,,0
X1043,CENTERING 1-2 PUSH SENSOR,G,PUSH,R,NONE,Y1043,LOAD REQUEST,B,,W,,0
X1044,SPARE,G,,R,,Y1044,LOAD COMPLETE CONFIRM,B,,W,,0
X1045,SPARE,G,,R,,Y1045,LOAD RESERVED#1,B,,W,,0
X1046,LIFT PIN X AXIS P_LIMIT POSITION,G,NORMAL,R,LIMIT,Y1046,LOAD SHUTTER OPEN,B,,W,,0
X1047,LIFT PIN X AXIS N_LIMIT POSITION,G,NORMAL,R,LIMIT,Y1047,LOAD SHUTTER ALL CLOSE,B,,W,,0
X1048,LIFT PIN X AXIS HOME POSITION,G,HOME,R,NONE,Y1048,LOAD RESERVED#2,B,,W,,0
X1049,LIFT PIN X AXIS DOWN POSITION,G,DOWN,R,NONE,Y1049,LOAD RESERVED#3,B,,W,,0
X104A,CHUCK VACUUM VAC STATUS,G,VAC,R,NONE,Y104A,EMOP ST,B,,W,,0
X104B,CHUCK VACUUM ATM STATUS,G,ATM,R,NONE,Y104B,SPARE,B,,W,,0
X104C,POWER BOX INSIDE EMO PUSH ALARM,G,ALARM,R,NORMAL,Y104C,SPARE,B,,W,,0
X104D,PC BOX INSIDE EMO PUSH ALARM,G,ALARM,R,NORMAL,Y104D,SPARE,B,,W,,0
X104E,POWER BOX LEFT OPEN,G,CLOSE,R,OPEN,Y104E,SPARE,B,,W,,0
X104F,POWER BOX RIGHT OPEN,G,CLOSE,R,OPEN,Y104F,SPARE,B,,W,,0
X1050,AF AXIS MAIN AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,Y1050,UNLOAD AUTO,B,,W,,0
X1051,AF AXIS AIR FLOW LOW ALARM,G,NORMAL,R,ALARM,Y1051,UNLOAD ENABLE,B,,W,,0
X1052,AF AXIS CYLINDER AIR PRESSURE HIGH ALARM,G,NORMAL,R,ALARM,Y1052,UNLOAD GLASS DATA REPORT,B,,W,,0
X1053,AF AXIS CYLINDER AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,Y1053,UNLOAD REQUEST,B,,W,,0
X1054,AF AXIS COOLING AIR PRESSURE HIGH ALARM,G,NORMAL,R,ALARM,Y1054,UNLOAD COMPLETE CONFIRM,B,,W,,0
X1055,AF AXIS COOLING AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,Y1055,UNLOAD EXCHANGE ENABLE,B,,W,,0
X1056,EQUIPMENT AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,Y1056,UNLOAD SHUTTER OPEN,B,,W,,0
X1057,EQUIPMENT AIR FLOW LOW ALARM,G,NORMAL,R,ALARM,Y1057,UNLOAD SHUTTER ALL CLOSE,B,,W,,0
X1058,SHUTTER CLOSE SENSOR,G,CLOSE,R,NONE,Y1058,UNLOAD ELOAD COMPLETE CONFIRM,B,,W,,0
X1059,SHUTTER OPEN SENSOR,G,OPEN,R,NONE,Y1059,UNLOAD RESERVED#3,B,,W,,0
X105A,VACUUM PUMP AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,Y105A,UNLOAD RESERVED#4,B,,W,,0
X105B,VACUUM PUMP AIR FLOW LOW ALARM,G,NORMAL,R,ALARM,Y105B,SPARE,B,,W,,0
X105C,CHILLER WATER REFILL FLOW ON,G,ON,R,OFF,Y105C,SPARE,B,,W,,0
X105D,CHILLER PCW SUPPLY FLOW LOW ALARM,G,NORMAL,R,ALARM,Y105D,SPARE,B,,W,,0
X105E,PH PCW SUPPLY FLOW LOW ALARM,G,NORMAL,R,ALARM,Y105E,SPARE,B,,W,,0
X105F,CHILLER WATER LEAK SENSOR,G,NORMAL,R,Leak,Y105F,SPARE,B,,W,,0
X1060,PH WATER LEAK SENSOR 1,G,NORMAL,R,Leak,,,,,,,
X1061,PH WATER LEAK SENSOR 2,G,NORMAL,R,Leak,,,,,,,
X1062,SPARE,G,,R,,,,,,,,
X1063,SPARE,G,,R,,,,,,,,
X1064,STAGE FACTORY AIR PRESSURE HIGH ALARM,G,NORMAL,R,ALARM,,,,,,,
X1065,STAGE FACTORY AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X1066,SPARE,G,,R,,,,,,,,
X1067,STAGE AIR FLOW LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X1068,STAGE MAIN AIR PRESSURE HIGH ALARM,G,NORMAL,R,ALARM,,,,,,,
X1069,STAGE MAIN AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X106A,STAGE Y1 LEFT AIR PRESSURE HIGH ALARM,G,NORMAL,R,ALARM,,,,,,,
X106B,STAGE Y1 LEFT AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X106C,STAGE Y1 RIGHT AIR PRESSURE HIGH ALARM,G,NORMAL,R,ALARM,,,,,,,
X106D,STAGE Y1 RIGHT AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X106E,STAGE Y2 LEFT AIR PRESSURE HIGH ALARM,G,NORMAL,R,ALARM,,,,,,,
X106F,STAGE Y2 LEFT AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X1070,STAGE Y2 RIGHT AIR PRESSURE HIGH ALARM,G,NORMAL,R,ALARM,,,,,,,
X1071,STAGE Y2 RIGHT AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X1072,STAGE X LEFT AIR PRESSURE HIGH ALARM,G,NORMAL,R,ALARM,,,,,,,
X1073,STAGE X LEFT AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X1074,STAGE X RIGHT AIR PRESSURE HIGH ALARM,G,NORMAL,R,ALARM,,,,,,,
X1075,STAGE X RIGHT AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X1076,SPARE,G,,R,,,,,,,,
X1077,SPARE,G,,R,,,,,,,,
X1078,POWER BOX SMOKE DETECT,G,NORMAL,R,ALARM,,,,,,,
X1079,IONIZER ALARM,G,ALARM,R,NORMAL,,,,,,,
X107A,IONIZER MAINTENANCE,G,MAINT,R,NORMAL,,,,,,,
X107B,EFEM HAND DETECT,G,DETECT,R,NONE,,,,,,,
X107C,SAFETY PLC EDM ERROR,G,NORMAL,R,ALARM,,,,,,,
X107D,SPARE,G,,R,,,,,,,,
X107E,SPARE,G,,R,,,,,,,,
X107F,SPARE,G,,R,,,,,,,,
X1080,CENTERING 2-1 PULL SENSOR,G,PULL,R,NONE,,,,,,,
X1081,CENTERING 2-1 PUSH SENSOR,G,PUSH,R,NONE,,,,,,,
X1082,CENTERING 2-2 PULL SENSOR,G,PULL,R,NONE,,,,,,,
X1083,CENTERING 2-2 PUSH SENSOR,G,PUSH,R,NONE,,,,,,,
X1084,CHUCK 2 VACUUM VAC STATUS,G,VAC,R,NONE,,,,,,,
X1085,CHUCK 2 VACUUM ATM STATUS,G,ATM,R,NONE,,,,,,,
X1086,CHUCK 3 VACUUM VAC STATUS,G,VAC,R,NONE,,,,,,,
X1087,CHUCK 3 VACUUM ATM STATUS,G,ATM,R,NONE,,,,,,,
X1088,VACUUM PUMP 2 AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X1089,VACUUM PUMP 2 AIR FLOW LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X108A,VACUUM PUMP 3 AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X108B,VACUUM PUMP 3 AIR FLOW LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X108C,VACUUM PUMP 4 AIR PRESSURE LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X108D,VACUUM PUMP 4 AIR FLOW LOW ALARM,G,NORMAL,R,ALARM,,,,,,,
X108E,SPARE,G,,R,,,,,,,,
X108F,SPARE,G,,R,,,,,,,,
X1090,LOAD AUTO,G,,R,,,,,,,,
X1091,LOAD INTERLOCK CHECK,G,,R,,,,,,,,
X1092,LOAD GLASS DATA REPORT,G,,R,,,,,,,,
X1093,LOAD ROBOT BUSY,G,,R,,,,,,,,
X1094,LOAD COMPLETE,G,,R,,,,,,,,
