; expo_name,power_name,global_mark_dist_1,2,3,4,5,6,led_duty_cycle,score_accept,scale_range,real_scale_range,real_rotaion_range,serial_decode,scale_decode,text_decode,text_string,serial_flip_h,v,scale_flip_h,v,text_flip_h,v,
Expo111,2021-08-05(MAX_90P),185,185,237,237,301,301,60,100.000,100.000,0.000,0.000,1,1,1,5555,0,0,0,0,0,0,
wsddddddddddddddddd,2022-11-09(1.1.1.1),1,1,1,1,1,1,60,100.000,100.000,0.000,0.000,1,1,1,5555,0,0,0,0,0,0,
Expo2,2022-11-09(1.1.1.1),1,1,1,1,1,1,60,100.000,100.000,0.000,0.000,1,1,1,5555,0,0,0,0,0,0,
expo3,2022-11-09(1.1.1.1),3,3,3,1,1,1,60,100.000,100.000,0.000,0.000,1,1,1,5555,0,0,0,0,0,0,
Expo4,2022-11-09(1.1.1.1),3,3,3,1,1,1,60,100.000,100.000,0.000,0.000,1,1,1,5555,0,0,0,0,0,0,
ssss,2022-11-09(1.1.1.1),3,3,3,1,1,1,60,100.000,100.000,0.000,0.000,1,1,1,5555,0,0,0,0,0,0,
ExpoLED1,2023-07-25(1.1.1.1),1,1,1,1,1,1,90,100.000,100.000,0.000,0.000,1,1,1,5555,0,0,0,0,0,0,
Expo2LED1,2023-08-29(1Watt),200,200,200,200,200,200,90,100.000,100.000,0.000,0.000,1,1,1,5555,0,0,0,0,0,0,
Expo3LED1,2023-08-29(1Watt),28,28,20,20,301,301,90,90.000,90.000,0.000,0.000,1,1,1,5555,0,0,0,0,0,0,
Expo1.0_100,2023-08-29(1Watt),200,200,200,200,200,200,90,80.000,80.000,0.000,0.000,1,1,1,5555,0,0,0,0,0,0,
