; PowerName, PH1.LED1(W,I),,,PH1.LED4(W,I), PH2.LED1(W,I),,,PH2.LED4(W,I), PH3.LED1(W,I),,,PH3.LED4(W,I), PH4.LED1(W,I),,,PH4.LED4(W,I), PH1.LED5(W,I),,,PH5.LED4(W,I), PH6.LED1(W,I),,,PH6.LED4(W,I), PH7.LED1(W,I),,,PH7.LED4(W,I), PH8.LED1(W,I),,,PH8.LED4(W,I)
2021-08-05(1.1.1.1),3.010,620,3.030,725,2.990,830,2.980,610,3.000,500,3.000,600,2.990,965,3.000,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05(MAX_90P),5.930,1225,3.730,900,4.330,1220,4.890,930,5.840,1025,3.730,820,4.290,1375,4.870,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-05(fuji_film),3.050,22,3.010,22,3.030,22,2.990,22,3.010,18,3.020,18,3.020,18,3.000,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08(MAX_90P),5.754,1410,3.578,720,3.383,1620,4.561,1020,5.863,1050,3.707,720,3.588,1170,4.626,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09(1.1.1.1),2.889,720,2.971,600,2.989,1440,2.987,660,2.985,510,2.958,570,3.003,990,3.065,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-25(1.1.1.1),2.889,720,2.971,600,2.989,1440,2.987,660,2.985,510,2.958,570,3.003,990,3.065,720,2.889,720,2.971,600,2.989,1440,2.987,660,2.889,720,2.971,600,2.989,1440,2.987,660,2.889,720,2.971,600,2.989,1440,2.987,660,2.889,720,2.971,600,2.989,1440,2.987,660,,,,,,,,,,,,,,,,,
2023-08-08(MAX_LED),1.047,800,1.379,1000,0.914,1450,1.348,1350,1.015,650,1.375,1300,0.865,1500,1.241,1500,1.093,650,1.369,1050,0.808,1350,1.280,1500,1.073,700,1.167,1500,0.861,1400,1.298,1350,1.056,750,1.347,950,0.806,1350,1.304,1500,0.981,750,1.448,1150,0.851,1450,1.293,1500,,,,,,,,,,,,,,,,,
2023-08-29(1Watt),1.000,310,1.000,319,1.000,671,1.000,299,1.000,311,1.000,431,1.000,615,1.000,499,1.000,289,1.000,349,1.000,646,1.000,512,1.000,323,1.000,608,1.000,687,1.000,398,1.000,303,1.000,324,1.000,634,1.000,499,1.000,357,1.000,356,1.000,738,1.000,500,,,,,,,,,,,,,,,,,
2023-08-30(TEST_LED),0.496,376,0.313,207,0.257,356,0.231,179,0.496,352,0.313,275,0.257,378,0.231,202,0.496,311,0.313,227,0.257,355,0.231,198,0.496,368,0.313,376,0.257,337,0.231,157,0.496,335,0.313,202,0.257,345,0.231,172,0.496,397,0.313,238,0.257,373,0.231,190,,,,,,,,,,,,,,,,,
2023-09-15(0915_Max90),1.257,450,1.131,430,1.018,867,0.916,462,1.257,429,1.131,555,1.018,981,0.916,567,1.257,385,1.131,472,1.018,965,0.916,541,1.257,465,1.131,795,1.018,910,0.916,482,1.257,429,1.131,434,1.018,955,0.916,560,1.257,527,1.131,489,1.018,972,0.916,551,,,,,,,,,,,,,,,,,
