; Model Name, Model Type, File Name OR Param 1, Param 2, Param 3, Param 4, Param 5,
circle_black_150um,8,256.0,150.0000,0.0000,0.0000,0.0000,
DFSR_sr_i150um_o210um,256,256.0,150.0000,210.0000,0.0000,0.0000,
DFSR_SR_I150um_O210UM_W,256,128.0,150.0000,210.0000,0.0000,0.0000,
MMF_CIRCLE_1000um,2097152,1000.0,0.0000,0.0000,0.0000,0.0000,
MMF_CIRCLE_150um,2097152,150.0,0.0000,0.0000,0.0000,0.0000,
MMF_CIRCLE_140um,2097152,140.0,0.0000,0.0000,0.0000,0.0000,
MMF_DFSR_SR_I150um_O210UM_W,2097152,0.0,0.0000,0.0000,0.0000,0.0000,
RING_1000,256,128.0,2000.0000,2600.0000,0.0000,0.0000,
RING_6_10,256,128.0,600.0000,1000.0000,0.0000,0.0000,
RING_B_800,256,256.0,600.0000,1000.0000,0.0000,0.0000,
RING_B_8_1000,256,256.0,800.0000,1000.0000,0.0000,0.0000,
TEST_140um_WH,8,128.0,140.0000,0.0000,0.0000,0.0000,
CIRCLE_BLACK_1500um,8,256.0,1500.0000,0.0000,0.0000,0.0000,
CIRCLE_BLACK_1000um,8,256.0,1000.0000,0.0000,0.0000,0.0000,
C_1000_W,8,128.0,1000.0000,0.0000,0.0000,0.0000,
C_1120_B,8,256.0,1120.0000,0.0000,0.0000,0.0000,
C_1120-1,8,256.0,1120.0000,0.0000,0.0000,0.0000,
RING1000,256,128.0,800.0000,1000.0000,0.0000,0.0000,
C500_W,8,128.0,500.0000,0.0000,0.0000,0.0000,
C500_B,8,256.0,500.0000,0.0000,0.0000,0.0000,
C170,8,256.0,170.0000,0.0000,0.0000,0.0000,
RING500_W,256,256.0,500.0000,600.0000,0.0000,0.0000,
RING7_5W,256,256.0,500.0000,700.0000,0.0000,0.0000,
RING7_5B,256,128.0,500.0000,700.0000,0.0000,0.0000,
REC1800um,8192,256.0,1800.0000,1800.0000,1800.0000,1800.0000,
C-1O1OW,8,128.0,1010.0000,0.0000,0.0000,0.0000,
C_1010W,8,128.0,1010.0000,0.0000,0.0000,0.0000,
C100_B,8,256.0,100.0000,0.0000,0.0000,0.0000,
C2500,8,3.0,2500.0000,0.0000,0.0000,0.0000,
C2300,8,3.0,2300.0000,0.0000,0.0000,0.0000,
C950,8,3.0,950.0000,0.0000,0.0000,0.0000,
C1050,8,3.0,1050.0000,0.0000,0.0000,0.0000,
C_1050,8,3.0,1050.0000,0.0000,0.0000,0.0000,
B1000,8,1.0,1000.0000,0.0000,0.0000,0.0000,
W1000,8,2.0,1000.0000,0.0000,0.0000,0.0000,
SQ_2000_IM,2097152,0.0,704.0000,690.0000,250.0000,250.0000,
2000Rect,64,128.0,2000.0000,2000.0000,0.0000,0.0000,
Ring_2500_1000,256,3.0,2000.0000,2500.0000,0.0000,0.0000,
C_900_B,8,1.0,900.0000,0.0000,0.0000,0.0000,
C_1100_B,8,1.0,1100.0000,0.0000,0.0000,0.0000,
C_1200_B,8,1.0,1200.0000,0.0000,0.0000,0.0000,
C_W20,8,3.0,250.0000,0.0000,0.0000,0.0000,
c1000w-0618,8,3.0,1000.0000,0.0000,0.0000,0.0000,
